24.0,31.0,549.0
15.0,1.0,181.0
13.0,10.0,328.0
24.0,5.0,365.0
24.0,5.0,1291.0
25.0,35.0,840.0
37.0,3.0,1349.0
42.0,51.0,903.0
45.0,27.0,1347.0
45.0,99.0,1921.0
56.0,33.0,2103.0
64.0,98.0,2345.0
65.0,139.0,3156.0
70.0,175.0,2987.0
69.0,155.0,2447.0
81.0,351.0,2841.0
81.0,262.0,2147.0
91.0,374.0,2531.0
103.0,456.0,2097.0
94.0,376.0,1638.0
242.0,773.0,14840.0
116.0,672.0,3780.0
31.0,690.0,2420.0
139.0,845.0,1843.0
100.0,1027.0,1933.0
93.0,1250.0,1807.0
132.0,1393.0,1693.0
108.0,1017.0,349.0
